STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TMAX,TMIN
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/17/2019,87,95,73
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/18/2019,76,78,71
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/19/2019,79,95,71
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/20/2019,91,99,83
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/21/2019,92,100,83
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/22/2019,84,91,74
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/23/2019,73,77,68
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/24/2019,75,85,69
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/25/2019,78,86,72
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/26/2019,80,88,72
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/27/2019,80,87,75
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/28/2019,83,93,75
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/29/2019,85,94,77
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/30/2019,88,95,81
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/31/2019,82,90,72
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/1/2019,79,88,73
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/2/2019,79,88,73
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/3/2019,80,89,70
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/4/2019,79,88,71
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/5/2019,77,81,71
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/6/2019,76,83,72
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/7/2019,78,87,70
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/8/2019,77,92,70
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/9/2019,77,87,72
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/10/2019,77,83,70
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/11/2019,75,83,68
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/12/2019,80,89,72
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/13/2019,78,80,75
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/14/2019,76,83,72
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/15/2019,76,85,72
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/16/2019,74,83,70
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/17/2019,78,86,73
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/18/2019,80,91,74
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/19/2019,81,93,75
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/20/2019,82,89,76
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/21/2019,82,91,78
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/22/2019,83,93,71
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/23/2019,73,76,66
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/24/2019,71,77,64
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/25/2019,71,77,66
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/26/2019,67,74,61
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/27/2019,70,76,65
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/28/2019,70,76,69
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/29/2019,75,84,69
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/30/2019,78,89,70
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,8/31/2019,78,82,71
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,9/1/2019,72,78,65
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,9/2/2019,73,79,70
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,9/3/2019,75,82,69
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,9/4/2019,77,89,70
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,9/5/2019,72,74,65
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,9/6/2019,67,69,60
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,9/7/2019,66,77,58
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,9/8/2019,72,79,67
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,9/9/2019,71,77,66
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,9/10/2019,72,78,68
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,9/11/2019,78,91,70
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,9/12/2019,79,83,64
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,9/13/2019,65,73,60
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,9/14/2019,69,78,63
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,9/15/2019,76,85,71
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,9/16/2019,74,77,70
